Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh],time
0,0.2,0,0,0,0,91,6:49:25
0,0.21,0,0,0,0,3,6:49:30
0,0.21,0,0,0,0,3,6:49:35
0,0.21,0,0,0,0,3,6:49:40
0,0.21,0,0,0,0,3,6:49:45
0,0.37,79.7,0,29.5,0,3,6:49:50
0.19,0.03,89.6,17,2.7,0,2,6:49:55
0.2,0.02,89.6,17.9,1.8,0,2,6:50:00
0.22,0.01,89.7,19.7,0.9,0,0,6:50:05
0.23,0,89.7,20.6,0,0,0,6:50:10
0.24,-0.01,89.7,21.5,-0.9,0,0,6:50:15
0.25,-0.01,89.7,22.4,-0.9,0,0,6:50:20
0.26,-0.02,89.7,23.3,-1.8,0,0,6:50:25
0.27,-0.02,89.7,24.2,-1.8,0,0,6:50:30
0.27,-0.01,89.7,24.2,-0.9,0,0,6:50:35
0.28,-0.02,89.8,25.1,-1.8,0,0,6:50:40
0.29,-0.04,89.7,26,-3.6,0,0,6:50:45
0.29,-0.03,89.7,26,-2.7,0,0,6:50:50
0.29,-0.03,89.7,26,-2.7,0,0,6:50:55
0.29,-0.04,89.7,26,-3.6,0,0,6:51:00
0.29,-0.04,89.8,26,-3.6,0,0,6:51:05
0.29,-0.04,89.8,26,-3.6,0,0,6:51:10
0.29,-0.04,89.7,26,-3.6,0,0,6:51:15
0.29,-0.04,89.8,26,-3.6,0,0,6:51:20
0.29,-0.03,89.8,26,-2.7,0,0,6:51:25
0.29,-0.03,89.7,26,-2.7,0,0,6:51:30
0.29,-0.03,89.8,26,-2.7,0,0,6:51:35
0.28,-0.03,89.8,25.1,-2.7,0,0,6:51:40
0.28,-0.02,89.7,25.1,-1.8,0,0,6:51:45
0.28,-0.03,89.8,25.1,-2.7,0,0,6:51:50
0.29,-0.02,89.8,26,-1.8,0,0,6:51:55
0.28,-0.02,89.8,25.1,-1.8,0,0,6:52:00
0.29,-0.03,89.8,26,-2.7,0,0,6:52:05
0.29,-0.03,89.8,26,-2.7,0,0,6:52:10
0.29,-0.03,89.8,26,-2.7,0,0,6:52:15
0.28,-0.03,89.8,25.1,-2.7,0,0,6:52:20
0.28,-0.03,89.8,25.1,-2.7,0,0,6:52:25
0.29,-0.03,89.7,26,-2.7,0,0,6:52:30
0.28,-0.03,89.8,25.1,-2.7,0,0,6:52:35
0.29,-0.03,89.8,26,-2.7,0,0,6:52:40
0.29,-0.04,89.8,26,-3.6,0,0,6:52:45
0.29,-0.03,89.8,26,-2.7,0,0,6:52:50
0.29,-0.04,89.8,26,-3.6,0,0,6:52:55
0.29,-0.03,89.8,26,-2.7,0,0,6:53:00
0.3,-0.04,89.7,26.9,-3.6,0,0,6:53:05
0.3,-0.04,89.8,26.9,-3.6,0,0,6:53:10
0.29,-0.04,89.8,26,-3.6,0,0,6:53:15
0.29,-0.04,89.8,26,-3.6,0,0,6:53:20
0.29,-0.03,89.7,26,-2.7,0,0,6:53:25
0.29,-0.04,89.8,26,-3.6,0,0,6:53:30
0.29,-0.03,89.8,26,-2.7,0,0,6:53:35
0.29,-0.04,89.8,26,-3.6,0,0,6:53:40
0.3,-0.03,89.8,26.9,-2.7,0,0,6:53:45
0.3,-0.04,89.8,26.9,-3.6,0,0,6:53:50
0.3,-0.04,89.8,26.9,-3.6,0,0,6:53:55
0.3,-0.04,89.8,26.9,-3.6,0,0,6:54:00
0.3,-0.03,89.8,26.9,-2.7,0,0,6:54:05
0.31,-0.04,89.8,27.8,-3.6,0,0,6:54:10
0.31,-0.04,89.8,27.8,-3.6,0,0,6:54:15
0.31,-0.04,89.8,27.8,-3.6,0,0,6:54:20
0.3,-0.04,89.7,26.9,-3.6,0,0,6:54:25
0.31,-0.04,89.8,27.8,-3.6,0,0,6:54:30
0.31,-0.04,89.8,27.8,-3.6,0,0,6:54:35
0.31,-0.04,89.8,27.8,-3.6,0,0,6:54:40
0.31,-0.05,89.8,27.8,-4.5,0,0,6:54:45
0.32,-0.04,89.8,28.7,-3.6,0,0,6:54:50
0.32,-0.06,89.8,28.7,-5.4,0,0,6:54:55
0.33,-0.06,89.8,29.6,-5.4,0,0,6:55:00
0.34,-0.07,89.8,30.5,-6.3,0,0,6:55:05
0.34,-0.07,89.8,30.5,-6.3,0,0,6:55:10
0.35,-0.08,89.8,31.4,-7.2,0,0,6:55:15
0.36,-0.08,89.8,32.3,-7.2,0,0,6:55:20
0.37,-0.1,89.8,33.2,-9,0,10,6:55:25
0.38,-0.11,89.8,34.1,-9.9,0,9,6:55:30
0.39,-0.11,89.8,35,-9.9,0,9,6:55:35
0.4,-0.14,89.8,35.9,-12.6,0,8,6:55:40
0.42,-0.15,89.8,37.7,-13.5,0,0,6:55:45
0.44,-0.18,89.8,39.5,-16.2,0,0,6:55:50
0.47,-0.19,89.8,42.2,-17.1,0,0,6:55:55
0.49,-0.21,89.8,44,-18.9,0,0,6:56:00
0.5,-0.23,89.8,44.9,-20.7,0,0,6:56:05
0.52,-0.23,89.8,46.7,-20.7,0,0,6:56:10
0.55,-0.26,89.8,49.4,-23.3,0,0,6:56:15
0.56,-0.27,89.8,50.3,-24.2,0,0,6:56:20
0.6,-0.32,89.8,53.9,-28.7,0,0,6:56:25
0.62,-0.32,89.8,55.7,-28.7,0,0,6:56:30
0.65,-0.35,89.8,58.4,-31.4,0,0,6:56:35
0.69,-0.39,89.8,62,-35,0,0,6:56:40
0.75,-0.46,89.8,67.4,-41.3,0,0,6:56:45
