Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh],time
1,-0.7,89.3,89.3,-62.5,0,0,6:47:50
1.12,-0.8,89.3,100,-71.4,0,0,6:47:55
1.15,-0.83,89.4,102.8,-74.2,0,0,6:48:00
1.17,-0.85,89.4,104.6,-76,0,0,6:48:05
1.2,-0.88,89.4,107.3,-78.7,0,0,6:48:10
1.22,-0.9,89.4,109.1,-80.5,0,0,6:48:15
1.24,-0.92,89.4,110.9,-82.2,0,0,6:48:20
1.26,-0.93,89.4,112.6,-83.1,0,0,6:48:25
1.28,-0.95,89.4,114.4,-84.9,0,0,6:48:30
1.3,-0.96,89.4,116.2,-85.8,0,0,6:48:35
1.33,-0.99,89.5,119,-88.6,0,0,6:48:40
1.35,-1.01,89.5,120.8,-90.4,0,0,6:48:45
1.36,-1.02,89.5,121.7,-91.3,0,0,6:48:50
0.25,-0.02,89.2,22.3,-1.8,0,0,6:48:55
1.4,-1.06,89.5,125.3,-94.9,0,0,6:49:00
1.43,-1.09,89.5,128,-97.6,0,0,6:49:05
1.45,-1.09,89.5,129.8,-97.6,0,0,6:49:10
1.46,-1.11,89.5,130.7,-99.3,0,0,6:49:15
1.48,-1.13,89.5,132.5,-101.1,0,0,6:49:20
1.49,-1.14,89.5,133.4,-102,0,0,6:49:25
1.51,-1.15,89.5,135.1,-102.9,0,0,6:49:30
1.52,-1.17,89.5,136,-104.7,0,0,6:49:35
1.54,-1.18,89.5,137.8,-105.6,0,0,6:49:40
1.56,-1.2,89.5,139.6,-107.4,0,0,6:49:45
1.57,-1.22,89.5,140.5,-109.2,0,0,6:49:50
1.59,-1.23,89.5,142.3,-110.1,0,0,6:49:55
1.62,-1.25,89.5,145,-111.9,0,0,6:50:00
1.63,-1.27,89.6,146,-113.8,0,0,6:50:05
1.64,-1.28,89.6,146.9,-114.7,0,0,6:50:10
1.66,-1.29,89.6,148.7,-115.6,0,0,6:50:15
1.67,-1.3,89.6,149.6,-116.5,0,0,6:50:20
1.68,-1.31,89.6,150.5,-117.4,0,0,6:50:25
1.69,-1.32,89.6,151.4,-118.3,0,0,6:50:30
1.7,-1.31,89.6,152.3,-117.4,0,0,6:50:35
1.71,-1.35,89.6,153.2,-121,0,0,6:50:40
1.73,-1.35,89.6,155,-121,0,0,6:50:45
1.74,-1.37,89.6,155.9,-122.8,0,0,6:50:50
1.76,-1.38,89.6,157.7,-123.6,0,0,6:50:55
1.77,-1.39,89.6,158.6,-124.5,0,0,6:51:00
1.78,-1.4,89.6,159.5,-125.4,0,0,6:51:05
1.77,-1.4,89.6,158.6,-125.4,0,0,6:51:10
1.76,-1.38,89.6,157.7,-123.6,0,0,6:51:15
1.73,-1.35,89.6,155,-121,0,0,6:51:20
1.69,-1.32,89.6,151.4,-118.3,0,0,6:51:25
1.66,-1.29,89.6,148.7,-115.6,0,0,6:51:30
1.64,-1.27,89.6,146.9,-113.8,0,0,6:51:35
1.59,-1.24,89.6,142.5,-111.1,0,0,6:51:40
1.56,-1.2,89.6,139.8,-107.5,0,0,6:51:45
1.54,-1.18,89.6,138,-105.7,0,0,6:51:50
1.54,-1.18,89.6,138,-105.7,0,0,6:51:55
1.53,-1.17,89.6,137.1,-104.8,0,0,6:52:00
1.53,-1.17,89.6,137.1,-104.8,0,0,6:52:05
1.54,-1.18,89.6,138,-105.7,0,0,6:52:10
1.55,-1.18,89.6,138.9,-105.7,0,0,6:52:15
1.57,-1.21,89.6,140.7,-108.4,0,0,6:52:20
1.6,-1.24,89.6,143.4,-111.1,0,0,6:52:25
1.64,-1.27,89.6,146.9,-113.8,0,0,6:52:30
1.67,-1.3,89.6,149.6,-116.5,0,0,6:52:35
1.69,-1.31,89.6,151.4,-117.4,0,0,6:52:40
1.7,-1.33,89.6,152.3,-119.2,0,0,6:52:45
1.72,-1.35,89.6,154.1,-121,0,0,6:52:50
1.72,-1.35,89.6,154.1,-121,0,0,6:52:55
1.74,-1.37,89.6,155.9,-122.8,0,0,6:53:00
1.73,-1.35,89.6,155,-121,0,0,6:53:05
1.73,-1.35,89.6,155,-121,0,0,6:53:10
1.72,-1.35,89.6,154.1,-121,0,0,6:53:15
1.72,-1.35,89.6,154.1,-121,0,0,6:53:20
1.72,-1.35,89.6,154.1,-121,0,0,6:53:25
