Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh],time
0.27,-0.01,102.2,27.6,-1,0,0,8:21:20
0.27,-0.01,102.2,27.6,-1,0,0,8:21:25
0.27,-0.01,102.2,27.6,-1,0,0,8:21:30
0.27,0,102.2,27.6,0,0,0,8:21:35
0.27,-0.01,102.2,27.6,-1,0,0,8:21:40
0.27,0.56,102.1,27.6,57.2,0,0,8:21:45
0.62,-0.31,102.2,63.4,-31.7,0,6,8:21:50
0.3,-0.03,102.2,30.7,-3.1,0,12,8:21:55
0.33,-0.02,102.1,33.7,-2,0,10,8:22:00
0.37,0.67,102,37.7,68.3,0,10,8:22:05
1.07,-0.73,102.3,109.5,-74.7,0,11,8:22:10
1.49,-1.12,102.4,152.6,-114.7,0,10,8:22:15
0.54,0.77,102,55.1,78.5,0,17,8:22:20
0.62,-0.29,102.1,63.3,-29.6,0,16,8:22:25
0.89,-0.57,102.2,91,-58.3,0,17,8:22:30
0.52,-0.24,102.2,53.1,-24.5,0,18,8:22:35
0.38,-0.1,102.2,38.8,-10.2,0,19,8:22:40
0.34,-0.06,102.2,34.7,-6.1,0,21,8:22:45
0.4,-0.12,102.2,40.9,-12.3,0,25,8:22:50
0.69,-5.25,103.1,71.1,-541.3,0,21,8:22:55
0.98,-0.66,102.3,100.3,-67.5,0,24,8:23:00
0.3,-8.54,103.6,31.1,-884.7,0,29,8:23:05
0.43,-0.16,102.3,44,-16.4,0,29,8:23:10
0.37,-0.09,102.2,37.8,-9.2,0,36,8:23:15
1.41,-1.05,102.4,144.4,-107.5,0,44,8:23:20
1.19,-0.84,102.4,121.9,-86,0,47,8:23:25
0.52,-0.23,102.3,53.2,-23.5,0,50,8:23:30
0.73,-0.42,102.3,74.7,-43,0,53,8:23:35
0.64,-0.33,102.4,65.5,-33.8,0,55,8:23:40
0.52,-0.22,102.2,53.1,-22.5,0,55,8:23:45
0.65,5.73,101.2,65.8,579.9,0,56,8:23:50
0.7,0.36,102.1,71.5,36.8,0,58,8:23:55
0.72,-0.41,102.2,73.6,-41.9,0,58,8:24:00
0.87,-3.11,102.7,89.3,-319.4,0,57,8:24:05
1.3,-0.94,102.4,133.1,-96.3,0,40,8:24:10
1.96,-1.55,102.5,200.9,-158.9,0,20,8:24:15
1.96,-1.56,102.5,200.9,-159.9,0,7,8:24:20
1.97,-1.56,102.5,201.9,-159.9,0,0,8:24:25
1.87,5.61,101.1,189.1,567.2,0,10,8:24:30
1.4,5.95,101,141.4,601,0,18,8:24:35
0.41,5.25,101.1,41.5,530.8,0,30,8:24:40
0.51,3.7,101.4,51.7,375.2,0,35,8:24:45
0.55,0.58,102,56.1,59.2,0,40,8:24:50
0.51,1,101.9,52,101.9,0,42,8:24:55
0.27,-11.75,104.1,28.1,-1223.2,0,38,8:25:00
0.45,-0.17,102.2,46,-17.4,0,27,8:25:05
0.83,-0.51,102.2,84.8,-52.1,0,26,8:25:10
0.46,-5.47,103.1,47.4,-564,0,21,8:25:15
0.68,-3.73,102.9,70,-383.8,0,17,8:25:20
0.68,-1.95,102.5,69.7,-199.9,0,11,8:25:25
0.75,-0.43,102.4,76.8,-44,0,8,8:25:30
0.58,4.91,101.2,58.7,496.9,0,12,8:25:35
0.72,7.56,100.7,72.5,761.3,0,21,8:25:40
0.67,8.55,100.5,67.3,859.3,0,28,8:25:45
0.71,8.76,100.3,71.2,878.6,0,34,8:25:50
0.67,9.47,100.2,67.1,948.9,0,40,8:25:55
0.67,9.45,100.1,67.1,945.9,0,45,8:26:00
0.81,9.33,100,81,933,0,50,8:26:05
0.69,9.42,100.1,69.1,942.9,0,54,8:26:10
0.77,8.37,100.2,77.2,838.7,0,58,8:26:15
0.75,8.41,100.1,75.1,841.8,0,61,8:26:20
0.78,8.36,100.1,78.1,836.8,0,63,8:26:25
0.79,8.41,100.1,79.1,841.8,0,63,8:26:30
0.79,7.35,100.3,79.2,737.2,0,63,8:26:35
0.79,5.35,100.6,79.5,538.2,0,63,8:26:40
1.23,5.05,100.7,123.9,508.5,0,65,8:26:45
0.83,5.35,100.6,83.5,538.2,0,66,8:26:50
1.22,4.07,100.9,123.1,410.7,0,67,8:26:55
0.98,-4.12,102.3,100.3,-421.5,0,67,8:27:00
0.66,-3.39,102.3,67.5,-346.8,0,65,8:27:05
1.12,-0.78,101.9,114.1,-79.5,0,56,8:27:10
1.05,-0.71,101.9,107,-72.3,0,48,8:27:15
1.01,-0.67,101.9,102.9,-68.3,0,38,8:27:20
0.81,-0.49,101.9,82.5,-49.9,0,25,8:27:25
0.83,5.86,100.7,83.6,590.1,0,24,8:27:30
0.89,7.76,100.3,89.3,778.3,0,29,8:27:35
0.77,11.71,99.5,76.6,1165.1,0,32,8:27:40
0.9,13.7,99.1,89.2,1357.7,0,35,8:27:45
0.8,14.77,98.9,79.1,1460.8,0,36,8:27:50
0.84,14.68,98.9,83.1,1451.9,0,37,8:27:55
0.98,17.63,98.2,96.2,1731.3,0,38,8:28:00
1.26,20.27,97.7,123.1,1980.4,0,43,8:28:05
1.55,21.51,97.4,151,2095.1,0,48,8:28:10
2.07,22.57,97.1,201,2191.5,0,55,8:28:15
2.58,22.06,97.2,250.8,2144.2,0,63,8:28:20
2.73,16.04,98.1,267.8,1573.5,0,71,8:28:25
1.82,-12.63,103.2,187.8,-1303.4,0,72,8:28:30
1.51,-10.54,103.1,155.7,-1086.7,0,69,8:28:35
1.79,-5.7,102.3,183.1,-583.1,0,66,8:28:40
1.29,-8.45,102.8,132.6,-868.7,0,65,8:28:45
1.54,-6.66,102.6,158,-683.3,0,64,8:28:50
1.38,-4.98,102.4,141.3,-510,0,58,8:28:55
1.14,-14.06,104,118.6,-1462.2,0,36,8:29:00
1.44,-1.16,101.8,146.6,-118.1,0,6,8:29:05
1.45,-1.09,101.8,147.6,-111,0,0,8:29:10
1.43,-1.06,101.8,145.6,-107.9,0,0,8:29:15
2.09,5.97,100.5,210,600,0,10,8:29:20
2.2,9.87,99.7,219.3,984,0,24,8:29:25
2.75,11.07,99.5,273.6,1101.5,0,35,8:29:30
2.69,11.13,99.4,267.4,1106.3,0,43,8:29:35
2.65,12.15,99.2,262.9,1205.3,0,50,8:29:40
2.15,11.55,99.2,213.3,1145.8,0,55,8:29:45
2.25,11.46,99.2,223.2,1136.8,0,60,8:29:50
2.24,11.37,99.2,222.2,1127.9,0,63,8:29:55
2.29,-1.85,101.6,232.7,-188,0,62,8:30:00
2.36,-1.88,101.6,239.8,-191,0,59,8:30:05
2.38,-1.94,101.7,242,-197.3,0,57,8:30:10
2.15,-1.72,101.6,218.4,-174.8,0,54,8:30:15
1.75,0.41,101.3,177.3,41.5,0,50,8:30:20
2.34,14.5,98.8,231.2,1432.6,0,52,8:30:25
2.38,15.46,98.5,234.4,1522.8,0,56,8:30:30
2.3,17.41,98.1,225.6,1707.9,0,59,8:30:35
2.3,18.5,97.8,224.9,1809.3,0,62,8:30:40
2.28,21.23,97.2,221.6,2063.6,0,66,8:30:45
2.29,20.72,97.3,222.8,2016.1,0,70,8:30:50
2.17,17.86,97.7,212,1744.9,0,72,8:30:55
2.24,15.32,98.1,219.7,1502.9,0,73,8:31:00
2.32,11.81,98.7,229,1165.6,0,75,8:31:05
2.46,9.49,99.1,243.8,940.5,0,76,8:31:10
2.42,7.56,99.4,240.5,751.5,0,78,8:31:15
2.43,6.08,99.7,242.3,606.2,0,78,8:31:20
1.7,4.08,100.1,170.2,408.4,0,78,8:31:25
2.4,2.07,100.5,241.2,208,0,78,8:31:30
2.44,2.04,100.6,245.5,205.2,0,77,8:31:35
2.43,2.05,100.6,244.5,206.2,0,76,8:31:40
2.42,2.07,100.6,243.5,208.2,0,75,8:31:45
2.42,2.05,100.6,243.5,206.2,0,74,8:31:50
2.45,2.03,100.7,246.7,204.4,0,72,8:31:55
2.41,2.03,100.7,242.7,204.4,0,70,8:32:00
2.29,3.14,100.5,230.1,315.6,0,69,8:32:05
2.46,4.02,100.3,246.7,403.2,0,68,8:32:10
2.42,3.98,100.3,242.7,399.2,0,67,8:32:15
2.47,5.97,100,247,597,0,66,8:32:20
2.19,6.2,99.9,218.8,619.4,0,65,8:32:25
2.35,6.09,99.9,234.8,608.4,0,64,8:32:30
1.8,6.52,99.8,179.6,650.7,0,64,8:32:35
0.6,7.49,99.6,59.8,746,0,63,8:32:40
1.01,6.34,99.7,100.7,632.1,0,63,8:32:45
1.63,-1.25,101.2,165,-126.5,0,61,8:32:50
0.9,-0.57,101.1,91,-57.6,0,59,8:32:55
0.6,3.54,100.4,60.2,355.4,0,59,8:33:00
0.79,1.39,100.7,79.6,140,0,62,8:33:05
0.91,-0.59,101.1,92,-59.6,0,63,8:33:10
0.93,-0.6,101.2,94.1,-60.7,0,64,8:33:15
1.15,-0.8,101.2,116.4,-81,0,64,8:33:20
1.31,-0.95,101.2,132.6,-96.1,0,63,8:33:25
0.68,-13.66,103.5,70.4,-1413.8,0,52,8:33:30
1.05,5.44,100.3,105.3,545.6,0,39,8:33:35
1.16,14,98.7,114.5,1381.8,0,40,8:33:40
1.44,24.02,96.8,139.4,2325.1,0,48,8:33:45
0.66,24.74,96.6,63.8,2389.9,0,54,8:33:50
0.51,22.39,96.9,49.4,2169.6,0,59,8:33:55
0.41,20.96,97.1,39.8,2035.2,0,61,8:34:00
0.47,20.86,97.1,45.6,2025.5,0,63,8:34:05
1.71,19.22,97.3,166.4,1870.1,0,65,8:34:10
1.18,18.11,97.4,114.9,1763.9,0,67,8:34:15
0.78,15.89,97.8,76.3,1554,0,69,8:34:20
2.34,8.91,98.9,231.4,881.2,0,70,8:34:25
1.9,6.59,99.3,188.7,654.4,0,71,8:34:30
1.84,3.32,100,184,332,0,71,8:34:35
0.51,-0.22,100.7,51.4,-22.2,0,71,8:34:40
0.54,-0.21,100.7,54.4,-21.1,0,71,8:34:45
0.78,-0.46,100.8,78.6,-46.4,0,71,8:34:50
0.47,-0.19,100.8,47.4,-19.2,0,72,8:34:55
1.34,-0.98,100.9,135.2,-98.9,0,72,8:35:00
1.2,-0.84,100.9,121.1,-84.8,0,72,8:35:05
1.2,-0.84,101,121.2,-84.8,0,72,8:35:10
1.38,3.89,100.2,138.3,389.8,0,71,8:35:15
1.06,4.16,100.1,106.1,416.4,0,72,8:35:20
1.09,3.15,100.3,109.3,315.9,0,71,8:35:25
1.43,2.86,100.3,143.4,286.9,0,69,8:35:30
1.44,2.81,100.3,144.4,281.8,0,69,8:35:35
2.02,2.36,100.4,202.8,236.9,0,67,8:35:40
1.99,2.33,100.4,199.8,233.9,0,65,8:35:45
1.52,2.7,100.4,152.6,271.1,0,61,8:35:50
2.28,-1.84,101.2,230.7,-186.2,0,57,8:35:55
1.85,4.48,100,185,448,0,55,8:36:00
2.53,3.89,100.1,253.3,389.4,0,56,8:36:05
2.05,4.33,100,205,433,0,58,8:36:10
2.52,3.96,100.1,252.3,396.4,0,60,8:36:15
1.75,4.63,100,175,463,0,62,8:36:20
0.66,5.41,99.8,65.9,539.9,0,62,8:36:25
1.72,3.95,100,172,395,0,62,8:36:30
1.68,4.59,100,168,459,0,61,8:36:35
2.17,4.22,100.1,217.2,422.4,0,61,8:36:40
1.76,4.61,100,176,461,0,61,8:36:45
1.65,4.59,100,165,459,0,60,8:36:50
1.69,5.16,99.8,168.7,515,0,59,8:36:55
1.93,5.39,99.8,192.6,537.9,0,59,8:37:00
1.79,6.46,99.5,178.1,642.8,0,58,8:37:05
2.03,6.27,99.5,202,623.9,0,57,8:37:10
2.5,5.88,99.6,249,585.6,0,56,8:37:15
2.56,5.82,99.6,255,579.7,0,56,8:37:20
2.58,5.81,99.6,257,578.7,0,56,8:37:25
2.64,5.75,99.6,262.9,572.7,0,58,8:37:30
2.51,5.86,99.6,250,583.7,0,62,8:37:35
2.16,6.14,99.5,214.9,610.9,0,66,8:37:40
2.58,-2.11,101,260.6,-213.1,0,71,8:37:45
1.1,-22.77,104.5,115,-2379.5,0,69,8:37:50
2,-1.58,101,202,-159.6,0,68,8:37:55
2.03,-1.6,101.1,205.2,-161.8,0,68,8:38:00
2.2,-1.77,101.1,222.4,-178.9,0,67,8:38:05
2.6,-2.13,101.2,263.1,-215.6,0,65,8:38:10
2.06,-1.65,101.2,208.5,-167,0,63,8:38:15
2.6,-2.14,101.2,263.1,-216.6,0,61,8:38:20
2.59,-2.14,101.2,262.1,-216.6,0,59,8:38:25
2.25,-11.73,102.8,231.3,-1205.8,0,57,8:38:30
1.57,-20.98,104.4,163.9,-2190.3,0,43,8:38:35
0.83,-0.51,101.1,83.9,-51.6,0,41,8:38:40
1.84,-1.44,101.2,186.2,-145.7,0,39,8:38:45
1.8,-7,102.1,183.8,-714.7,0,34,8:38:50
2.6,-2.14,101.4,263.6,-217,0,31,8:38:55
2.6,-2.13,101.4,263.6,-216,0,27,8:39:00
2.51,-8.56,102.4,257,-876.5,0,25,8:39:05
1.35,-5.49,101.9,137.6,-559.4,0,19,8:39:10
1.79,-3.42,101.6,181.9,-347.5,0,12,8:39:15
1.69,-1.31,101.3,171.2,-132.7,0,3,8:39:20
1.72,0.85,100.9,173.5,85.8,0,9,8:39:25
1.31,3.29,100.4,131.5,330.3,0,14,8:39:30
2.47,0.84,100.8,249,84.7,0,18,8:39:35
2.47,-0.62,101.1,249.7,-62.7,0,20,8:39:40
0.71,3.71,100.3,71.2,372.1,0,22,8:39:45
2.66,4.08,100.3,266.8,409.2,0,26,8:39:50
2.64,3.05,100.4,265.1,306.2,0,31,8:39:55
2.75,2.96,100.4,276.1,297.2,0,35,8:40:00
2.66,2.06,100.6,267.6,207.2,0,38,8:40:05
2.34,2.35,100.5,235.2,236.2,0,40,8:40:10
0.55,4.82,100.1,55.1,482.5,0,41,8:40:15
0.7,7.35,99.5,69.7,731.3,0,43,8:40:20
0.41,7.86,99.4,40.8,781.3,0,45,8:40:25
0.49,7.78,99.4,48.7,773.3,0,47,8:40:30
0.51,7.76,99.4,50.7,771.3,0,49,8:40:35
1,7.39,99.4,99.4,734.6,0,51,8:40:40
0.84,7.5,99.4,83.5,745.5,0,52,8:40:45
1.57,6.91,99.5,156.2,687.5,0,54,8:40:50
1.68,6.8,99.5,167.2,676.6,0,56,8:40:55
1.56,6.72,99.4,155.1,668,0,57,8:41:00
2.29,-1.86,101,231.3,-187.9,0,57,8:41:05
1.84,-1.44,100.9,185.7,-145.3,0,55,8:41:10
1.26,-0.91,100.9,127.1,-91.8,0,53,8:41:15
2.41,-1.97,101.1,243.7,-199.2,0,50,8:41:20
2.44,2.82,100.3,244.7,282.8,0,48,8:41:25
1.48,6.99,99.5,147.3,695.5,0,49,8:41:30
2.25,7.68,99.3,223.4,762.6,0,50,8:41:35
2.28,8.18,99.2,226.2,811.5,0,51,8:41:40
2.69,7.86,99.2,266.8,779.7,0,52,8:41:45
1.12,9.17,99,110.9,907.8,0,53,8:41:50
2.18,8.28,99.1,216,820.5,0,54,8:41:55
2.6,7.93,99.2,257.9,786.7,0,55,8:42:00
2.55,7.97,99.2,253,790.6,0,55,8:42:05
2.55,7.95,99.2,253,788.6,0,56,8:42:10
1.62,7.76,99.1,160.5,769,0,57,8:42:15
