Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh],time
0.42,-0.17,90.6,38.1,-15.4,0,0,7:13:00
0.43,-0.17,90.6,39,-15.4,0,0,7:13:05
0.45,-0.19,90.6,40.8,-17.2,0,0,7:13:10
0.46,-0.2,90.6,41.7,-18.1,0,0,7:13:15
0.48,-0.22,90.6,43.5,-19.9,0,0,7:13:20
0.5,-0.23,90.6,45.3,-20.8,0,0,7:13:25
0.51,-0.24,90.6,46.2,-21.7,0,0,7:13:30
0.52,-0.25,90.6,47.1,-22.7,0,0,7:13:35
0.54,-0.27,90.6,48.9,-24.5,0,0,7:13:40
0.55,-0.28,90.6,49.8,-25.4,0,0,7:13:45
0.57,-0.31,90.6,51.6,-28.1,0,0,7:13:50
0.59,-0.32,90.6,53.5,-29,0,0,7:13:55
0.6,-0.32,90.6,54.4,-29,0,0,7:14:00
0.62,-0.34,90.7,56.2,-30.8,0,0,7:14:05
0.63,-0.35,90.6,57.1,-31.7,0,0,7:14:10
0.65,-0.36,90.7,59,-32.7,0,0,7:14:15
0.66,-0.38,90.7,59.9,-34.5,0,0,7:14:20
0.68,-0.4,90.7,61.7,-36.3,0,0,7:14:25
0.7,-0.41,90.7,63.5,-37.2,0,0,7:14:30
0.73,-0.44,90.7,66.2,-39.9,0,0,7:14:35
0.74,-0.45,90.7,67.1,-40.8,0,0,7:14:40
0.77,-0.48,90.7,69.8,-43.5,0,0,7:14:45
0.78,-0.49,90.7,70.7,-44.4,0,0,7:14:50
0.81,-0.51,90.7,73.5,-46.3,0,0,7:14:55
0.83,-0.53,90.7,75.3,-48.1,0,0,7:15:00
0.85,-0.55,90.8,77.2,-49.9,0,0,7:15:05
0.87,-0.57,90.8,79,-51.8,0,0,7:15:10
0.9,-0.59,90.8,81.7,-53.6,0,0,7:15:15
0.92,-0.61,90.8,83.5,-55.4,0,0,7:15:20
0.94,-0.64,90.7,85.3,-58,0,0,7:15:25
0.96,-0.65,90.8,87.2,-59,0,0,7:15:30
0.98,-0.67,90.8,89,-60.8,0,0,7:15:35
1,-0.69,90.8,90.8,-62.7,0,0,7:15:40
1.02,-0.7,90.9,92.7,-63.6,0,0,7:15:45
4.82,-4.21,92.4,445.4,-389,0,0,7:15:50
4.83,-4.21,92.4,446.3,-389,0,0,7:15:55
4.84,-4.22,92.4,447.2,-389.9,0,0,7:16:00
4.86,-4.24,92.4,449.1,-391.8,0,0,7:16:05
4.86,-4.24,92.4,449.1,-391.8,0,0,7:16:10
