Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh],time
2.8,-2.31,89.8,251.4,-207.4,0,0,7:04:30
2.83,-2.33,89.8,254.1,-209.2,0,0,7:04:35
2.86,-2.36,89.9,257.1,-212.2,0,0,7:04:40
2.87,-2.37,89.9,258,-213.1,0,0,7:04:45
2.88,-2.42,90,259.2,-217.8,0,0,7:04:50
2.91,-2.41,89.9,261.6,-216.7,0,0,7:04:55
2.92,-2.43,90,262.8,-218.7,0,0,7:05:00
2.94,-2.45,90,264.6,-220.5,0,0,7:05:05
2.97,-2.47,90,267.3,-222.3,0,0,7:05:10
2.99,-2.48,90,269.1,-223.2,0,0,7:05:15
3,-2.5,90,270,-225,0,0,7:05:20
3.02,-2.52,90,271.8,-226.8,0,3,7:05:25
3.04,-2.54,89.9,273.3,-228.3,0,0,7:05:30
3.05,-2.56,90,274.5,-230.4,0,0,7:05:35
3.08,-2.58,90,277.2,-232.2,0,0,7:05:40
3.08,-2.58,90,277.2,-232.2,0,0,7:05:45
3.1,-2.59,90,279,-233.1,0,0,7:05:50
3.12,-2.6,90,280.8,-234,0,0,7:05:55
3.15,-2.63,90,283.5,-236.7,0,0,7:06:00
3.17,-2.65,90,285.3,-238.5,0,0,7:06:05
3.19,-2.66,90,287.1,-239.4,0,0,7:06:10
3.2,-2.7,90,288,-243,0,0,7:06:15
3.22,-2.7,90,289.8,-243,0,0,7:06:20
3.24,-2.73,90,291.6,-245.7,0,0,7:06:25
3.26,-2.74,90,293.4,-246.6,0,0,7:06:30
3.29,-2.76,90,296.1,-248.4,0,0,7:06:35
3.3,-2.78,90,297,-250.2,0,0,7:06:40
3.31,-2.79,90,297.9,-251.1,0,0,7:06:45
3.34,-2.81,90,300.6,-252.9,0,0,7:06:50
3.35,-2.84,90.1,301.8,-255.9,0,0,7:06:55
3.37,-2.87,90,303.3,-258.3,0,0,7:07:00
3.4,-2.88,90,306,-259.2,0,0,7:07:05
3.42,-2.91,90.1,308.1,-262.2,0,0,7:07:10
3.44,-2.92,90.1,309.9,-263.1,0,0,7:07:15
3.44,-2.93,90.1,309.9,-264,0,0,7:07:20
3.47,-2.95,90.1,312.6,-265.8,0,0,7:07:25
3.48,-2.96,90.1,313.5,-266.7,0,0,7:07:30
3.49,-2.98,90.1,314.4,-268.5,0,0,7:07:35
3.5,-2.99,90.1,315.4,-269.4,0,0,7:07:40
3.51,-2.99,90.1,316.3,-269.4,0,0,7:07:45
3.53,-3.01,90.1,318.1,-271.2,0,0,7:07:50
3.54,-3.02,90.1,319,-272.1,0,0,7:07:55
3.56,-3.04,90.1,320.8,-273.9,0,0,7:08:00
3.58,-3.06,90.1,322.6,-275.7,0,0,7:08:05
3.59,-3.07,90.1,323.5,-276.6,0,0,7:08:10
3.6,-3.07,90.1,324.4,-276.6,0,0,7:08:15
