dist_km,elev_m,slope_pct,headwind_ms
0.0,34.80534335,-1.1421551005363284,0.0
0.1,35.49212447,-1.1421551005363284,0.0
0.2,36.82757375,-1.1421551005363284,0.0
0.3,36.32759079,-1.1261393665315353,0.0
0.4,33.18776397,-1.0941078985219548,0.0
0.5,27.21612229,-1.0620764305123729,0.0
0.6,20.89734162,-1.0300449625027894,0.0
0.7,16.50191599,-0.998013494493209,0.0
0.8,14.72973466,-0.9659820264836256,0.0
0.9,13.1334971,-0.9339505584740394,0.0
1.0,13.6955289,-0.901919090464459,0.0
1.1,11.60161305,-0.8698876224548784,0.0
1.2,9.931860032,-0.837856154445295,0.0
1.3,11.13207788,-0.8058246864357103,0.0
1.4,11.76029536,-0.7737932184261311,0.0
1.5,8.331212065,-0.7417617504165464,0.0
1.6,7.946690014,-0.7097302824069671,0.0
1.7,7.654595411,-0.6776988143973824,0.0
1.8,7.653622687,-0.6456673463877991,0.0
1.9,9.649450117,-0.6136358783782185,0.0
2.0,11.15364366,-0.5816044103686316,0.0
2.1,11.00639849,-0.5495729423590545,0.0
2.2,8.197155287,-0.5175414743494706,0.0
2.3,8.166311901,-0.48551000633988806,0.0
2.4,8.006094957,-0.45347853833030893,0.0
2.5,8.505693745,-0.42144707032072404,0.0
2.6,8.388361249,-0.38941560231113925,0.0
2.7,6.36218734,-0.3573841343015559,0.0
2.8,6.010510284,-0.32535266629197623,0.0
2.9,5.176962875,-0.2933211982823971,0.0
3.0,6.79963905,-0.26128973027281077,0.0
3.1,4.596902579,-0.22925826226322743,0.0
3.2,1.356908652,-0.1972267942536462,0.0
3.3,-0.021235239,-0.16519532624406366,0.0
3.4,3.128889849,-0.13316385823448174,0.0
3.5,7.696282372,-0.10113239022489894,0.0
3.6,11.93917025,-0.06910092221541078,0.0
3.7,19.55514171,0.12502328757972664,0.0
3.8,24.70481764,0.34001317177754065,0.0
3.9,24.60432477,0.4559389754720593,0.0
4.0,24.09621795,0.570051450595959,0.0
4.1,21.82364053,0.6138669330028618,0.0
4.2,17.70131516,0.5823031176294847,0.0
4.3,14.5901457,0.48682156384260866,0.0
4.4,15.43113852,0.3996851221379991,0.0
4.5,14.92808044,0.35343589992235497,0.0
4.6,16.36119536,0.3136325600884501,0.0
4.7,12.1338226,0.29238090455157745,0.0
4.8,6.919163235,0.26509735555930547,0.0
4.9,5.035667479,0.18691999602677287,0.0
5.0,4.769916647,0.15326220841614743,0.0
5.1,5.833601103,0.1698066787187591,0.0
5.2,4.634785766,0.16957610182580254,0.0
5.3,4.759122456,0.2319646984111614,0.0
5.4,6.370793876,0.3365016902332599,0.0
5.5,7.995460488,0.39116107828465374,0.0
5.6,9.33259034,0.4466118544029238,0.0
5.7,11.97140145,0.4890338329923893,0.0
5.8,13.75242035,0.46708087274890037,0.0
5.9,14.25480276,0.3693970552119993,0.0
6.0,17.76123507,0.23755900999715465,0.0
6.1,18.16638347,0.11261619814725604,0.0
6.2,18.2637531,0.025420722849224833,0.0
6.3,21.04437606,-0.0025030951071258302,0.0
6.4,23.07808215,-0.0433063435002623,0.0
6.5,24.21180123,-0.08244089526875342,0.0
6.6,25.0339789,-0.0764825197921312,0.0
6.7,24.73322439,-0.033790080803377975,0.0
6.8,24.1025215,0.006169722020396762,0.0
6.9,21.95185759,-0.009982331464756557,0.0
7.0,19.07241968,-0.045398161365487515,0.0
7.1,17.77470657,-0.004444850286954613,0.0
7.2,18.48177305,0.1338793067915802,0.0
7.3,15.93417504,0.32464680154380265,0.0
7.4,15.64824109,0.5448923625122973,0.0
7.5,14.96712298,0.7425721137147989,0.0
7.6,15.51085449,0.8234469934474966,0.0
7.7,16.39354735,0.8125775757272748,0.0
7.8,16.32905463,0.7850429744230539,0.0
7.9,16.81353781,0.7095126812821037,0.0
8.0,18.43884872,0.5919028318625976,0.0
8.1,19.50344735,0.5140730179418789,0.0
8.2,21.37194882,0.47561787910349446,0.0
8.3,25.18488457,0.45161877776072656,0.0
8.4,26.50511749,0.34030349016692407,0.0
8.5,28.43699,0.15818395531903207,0.0
8.6,26.76439489,0.10048145784369496,0.0
8.7,20.63219654,0.10199116729018272,0.0
8.8,16.39709158,0.07104493130331847,0.0
8.9,14.01289564,0.015303915354437448,0.0
9.0,11.22113588,-0.038544066403490264,0.0
9.1,11.3787786,-0.06953996604642897,0.0
